latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
48.164,30.622,300.9,1.1,1,2020-07-21,0000,A,35,6.0NRT,287.5,7,N
36.876,6.945,306,1.1,1.1,2020-07-21,0140,A,66,6.0NRT,294.2,7,N
36.624,2.308,307,1.1,1,2020-07-21,0140,A,27,6.0NRT,294,6.5,N
36.617,2.313,312.6,1.1,1,2020-07-21,0140,A,85,6.0NRT,295.7,11.2,N
36.616,2.325,307.5,1.1,1,2020-07-21,0140,A,58,6.0NRT,296.3,6.4,N
51.173,3.822,317.9,1.4,1.2,2020-07-21,0135,A,96,6.0NRT,285.2,29.9,N
48.283,14.343,300.6,1.4,1.2,2020-07-21,0135,A,31,6.0NRT,288.9,8.8,N
47.222,34.097,321.4,4.8,2,2020-07-21,0745,T,74,6.0NRT,297.6,95.3,D
47.221,34.161,319.6,4.7,2,2020-07-21,0745,T,71,6.0NRT,297.1,78.5,D
47.224,34.089,319,4.8,2,2020-07-21,0745,T,66,6.0NRT,297.8,72.5,D
47.223,34.153,322.3,4.7,2,2020-07-21,0745,T,75,6.0NRT,297.6,104.3,D
47.152,34.025,332.6,4.8,2,2020-07-21,0745,T,85,6.0NRT,297.1,225,D
47.155,34.019,330.4,4.8,2,2020-07-21,0745,T,83,6.0NRT,297.2,196.4,D
67.333,32.404,309.2,1.1,1,2020-07-21,0920,T,62,6.0NRT,293.3,6.9,D
57.933,29.941,313,1,1,2020-07-21,0920,T,53,6.0NRT,296.8,8.3,D
57.924,29.937,312.4,1,1,2020-07-21,0920,T,61,6.0NRT,296.5,7.8,D
51.976,32.876,310.3,1.4,1.2,2020-07-21,0920,T,62,6.0NRT,293,9.3,D
50.404,32.009,306.7,1.4,1.2,2020-07-21,0920,T,11,6.0NRT,289.4,4.1,D
49.219,34.504,314.7,1.9,1.3,2020-07-21,0925,T,57,6.0NRT,296.3,16.1,D
47.814,34.352,319.3,2,1.4,2020-07-21,0925,T,56,6.0NRT,304.5,15.9,D
48.04,32.881,320.3,1.7,1.3,2020-07-21,0925,T,64,6.0NRT,304.9,20.2,D
48.035,32.902,346.1,1.7,1.3,2020-07-21,0925,T,93,6.0NRT,306,98.4,D
48.024,32.897,318.2,1.7,1.3,2020-07-21,0925,T,45,6.0NRT,302.3,14.4,D
