"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-21",,,"27.6",,"17.4"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-22",,,"29.3",,"19.5"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-23","2.0",,"28.1",,"21.2"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-24","0.0",,"27.6",,"19.9"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-25",,,"23.4",,"16.7"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-26",,,"20.2",,"14.8"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-27",,,"20.1",,"14.8"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-28",,,"23.3",,"16.0"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-29",,,"21.2",,"16.3"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-30",,,"21.5",,"12.6"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-07-31",,,"25.1",,"17.6"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-01",,,"25.6",,
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-02",,,"25.3",,"14.7"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-03",,,"25.7",,"16.0"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-04",,,"25.3",,
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-05",,,"24.8",,"14.7"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-06",,,"24.2",,"16.3"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-07","0.0",,"22.2",,"19.0"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-08",,,"23.4",,"19.4"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-09","2.0",,"20.9",,
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-10","0.5",,"20.8",,"14.5"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-11","1.0",,"18.9",,"13.4"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-12","0.0",,"20.7",,"12.6"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-13",,,"23.9",,"16.8"
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-14",,,"26.8",,
"POM00008570","CASTELO BRANCO, PO","39.833","-7.483","384.0","2019-08-15",,,"28.2",,"20.4"
