"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-01","47","58","42"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-02","46","60","39"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-03","45","52","39"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-04","47","56","41"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-05","49","51","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-06","49","55","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-07","49","53","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-08","52","54","48"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-09","53","54","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-10","51","62","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-11","48","50","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-12","51","58","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-13","49","54","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-14","48","50","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-15","48","52","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-16","53","55","51"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-17","53","55","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-18","52","58","48"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-19","56","63","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-20","51","56","43"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-21","48","56","43"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-22","49","62","42"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-23","51","63","41"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-24","54","68","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-25","55","71","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-26","55","60","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-27","57","70","51"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-28","56","66","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-29","52","63","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-30","53","65","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-01-31","53","61","50"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-01","51","55","49"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-02","49","54","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-03","49","51","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-04","42","48","35"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-05","40","48","33"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-06","44","53","38"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-07","43","52","37"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-08","42","46","39"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-09","44","50","39"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-10","41","48","34"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-11","42","53","36"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-12","41","45","38"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-13","50","56","44"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-14","49","55","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-15","45","50","42"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-16","43","47","40"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-17","43","49","38"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-18","44","57","35"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-19","46","57","37"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-20","45","52","41"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-21","45","56","35"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-22","45","56","36"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-23","45","59","36"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-24","48","53","43"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-25","49","50","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-26","50","51","49"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-27","50","54","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-02-28","47","57","41"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-01","47","56","40"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-02","49","53","46"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-03","50","53","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-04","48","52","45"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-05","49","52","44"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-06","50","52","47"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-07","46","52","43"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-08","44","50","40"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-09","45","53","42"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-10","45","53","41"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-11","51","64","40"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-12","48","54","42"
"USR0000CBAR","BARNABY CALIFORNIA, CA US","2019-03-13","48","62","39"
